,Código,Categoría,Serie,Fecha Inicio,Fecha Fin,Última Actualización,Frecuencia
145,RD38096BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Junín,Ene-2005,Dic-2021,17-07-2023,M
146,RD38097BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",La Libertad,Ene-2005,Dic-2021,17-07-2023,M
147,RD38098BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Lambayeque,Ene-2005,Dic-2021,17-07-2023,M
148,RD38099BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Lima,Ene-2005,Dic-2021,17-07-2023,M
149,RD38100BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Loreto,Ene-2005,Dic-2021,17-07-2023,M
150,RD38101BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Madre de Dios,Ene-2005,Dic-2021,17-07-2023,M
151,RD38102BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Moquegua,Ene-2005,Dic-2021,17-07-2023,M
152,RD38103BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Pasco,Ene-2005,Dic-2021,17-07-2023,M
153,RD38104BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Piura,Ene-2005,Dic-2021,17-07-2023,M
154,RD38105BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Puno,Ene-2005,Dic-2021,17-07-2023,M
155,RD38106BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",San Martín,Ene-2005,Dic-2021,17-07-2023,M
156,RD38107BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Tacna,Ene-2005,Dic-2021,17-07-2023,M
157,RD38108BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Tumbes,Ene-2005,Dic-2021,17-07-2023,M
158,RD38109BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Ucayali,Ene-2005,Dic-2021,17-07-2023,M
159,RD38110BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",No registrado,Ene-2005,Dic-2021,17-07-2023,M
160,RD38111BM,"Exportaciones por Departamento (Valores FOB en millones de US$)	
         - (27 series)",Total,Ene-2005,Dic-2021,17-07-2023,M
161,RD38112BM,"Importaciones por Aduana (Valores FOB en millones de US$)	
         - (25 series)",Tumbes,Ene-2005,Dic-2020,25-01-2022,M
162,RD38113BM,"Importaciones por Aduana (Valores FOB en millones de US$)	
         - (25 series)",Talara,Ene-2005,Dic-2020,25-01-2022,M
163,RD38114BM,"Importaciones por Aduana (Valores FOB en millones de US$)	
         - (25 series)",Paita,Ene-2005,Dic-2020,25-01-2022,M
164,RD38115BM,"Importaciones por Aduana (Valores FOB en millones de US$)	
         - (25 series)",Chiclayo,Ene-2005,Dic-2020,25-01-2022,M
